index,title,citation,internal_url,doi_urls,source_url
34,Functional Assembly of Accessory Optic System Circuitry Critical for Compensatory Eye Movements,"Sun, L., Brady, C., Al-Khindi, T., Sakuta, H., Dhande, O., Noda, M., Huberman, A., Nathans, J., & Kolodkin, A. (2015). Functional Assembly of Accessory Optic System Circuitry Critical for Compensatory Eye Movements. Neuron, 86(4), 971-984. https://doi.org/10.1016/j.neuron.2015.03.064",https://hubermanlab.stanford.edu/publications/functional-assembly-accessory-optic-system-circuitry-critical-compensatory-eye,https://doi.org/10.1016/j.neuron.2015.03.064,https://hubermanlab.stanford.edu/publications?page=1
35,Characteristic patterns of dendritic remodeling in early-stage glaucoma: evidence from genetically identified retinal ganglion cell types,"El-Danaf, R., & Huberman, A. (2015). Characteristic patterns of dendritic remodeling in early-stage glaucoma: evidence from genetically identified retinal ganglion cell types. The Journal of Neuroscience, 35(6), 2329-2343. https://doi.org/10.1523/JNEUROSCI.1419-14.2015",https://hubermanlab.stanford.edu/publications/dendrites/characteristic-patterns-dendritic-remodeling-early-stage-glaucoma-evidence,https://doi.org/10.1523/JNEUROSCI.1419-14.2015,https://hubermanlab.stanford.edu/publications?page=1
36,Birthdate and Outgrowth Timing Predict Cellular Mechanisms of Axon Target Matching in the Developing Visual Pathway,"Osterhout, J., El-Danaf, R., Nguyen, P. ., & Huberman, A. (2014). Birthdate and Outgrowth Timing Predict Cellular Mechanisms of Axon Target Matching in the Developing Visual Pathway. Cell Reports, 8(4), 1006-1017. https://doi.org/10.1016/j.celrep.2014.06.063",https://hubermanlab.stanford.edu/publications/birthdate-and-outgrowth-timing-predict-cellular-mechanisms-axon-target-matching,https://doi.org/10.1016/j.celrep.2014.06.063,https://hubermanlab.stanford.edu/publications?page=1
37,Visual Circuits: Mouse Retina No Longer a Level Playing Field,"Dhande, O., & Huberman, A. (2014). Visual Circuits: Mouse Retina No Longer a Level Playing Field. Current Biology. https://doi.org/10.1016/j.cub.2013.12.045",https://doi.org/10.1016/j.cub.2013.12.045,https://doi.org/10.1016/j.cub.2013.12.045,https://hubermanlab.stanford.edu/publications?page=1
38,Dendritic and axonal targeting patterns of a genetically-specified class of retinal ganglion cells that participate in image-forming circuits,"Triplett, J., Wei, W., Gonzalez, C., Sweeney, N., Huberman, A., Feller, M., & Feldheim, D. (2014). Dendritic and axonal targeting patterns of a genetically-specified class of retinal ganglion cells that participate in image-forming circuits. Neural Development. https://doi.org/10.1186/1749-8104-9-2",https://hubermanlab.stanford.edu/publications/green-fluorescent-protein/dendritic-and-axonal-targeting-patterns-genetically,https://doi.org/10.1186/1749-8104-9-2,https://hubermanlab.stanford.edu/publications?page=1
39,Retinal ganglion cell maps in the brain: implications for visual processing,"Dhande, O., & Huberman, A. (2014). Retinal ganglion cell maps in the brain: implications for visual processing. Current Opinion in Neurobiology. https://doi.org/10.1016/j.conb.2013.08.006",https://doi.org/10.1016/j.conb.2013.08.006,https://doi.org/10.1016/j.conb.2013.08.006,https://hubermanlab.stanford.edu/publications?page=1
40,"So many pieces, one puzzle: cell type specification and visual circuitry in flies and mice","Wernet, M., Huberman, A., & Desplan, C. (2014). So many pieces, one puzzle: cell type specification and visual circuitry in flies and mice. Genes & Development. http://genesdev.cshlp.org/content/28/23/2565",http://genesdev.cshlp.org/content/28/23/2565,,https://hubermanlab.stanford.edu/publications?page=1
41,Genetic Dissection of Retinal Inputs to Brainstem Nuclei Controlling Image Stabilization,"Dhande, O., Estevez, M., Quattrochi, L., El-Danaf, R., Nguyen, P., Berson, D., & Huberman, A. (2013). Genetic Dissection of Retinal Inputs to Brainstem Nuclei Controlling Image Stabilization. The Journal of Neuroscience, 33(45), 17797-17813. https://doi.org/10.1523/JNEUROSCI.2778-13.2013",https://hubermanlab.stanford.edu/publications/genetic-dissection-retinal-inputs-brainstem-nuclei-controlling-image-stabilization,https://doi.org/10.1523/JNEUROSCI.2778-13.2013,https://hubermanlab.stanford.edu/publications?page=2
42,What can mice tell us about how vision works?,"Huberman, A., & Niell, C. (2011). What can mice tell us about how vision works?. Trends in Neuroscience. https://doi.org/10.1016/j.tins.2011.07.002",https://doi.org/10.1016/j.tins.2011.07.002,https://doi.org/10.1016/j.tins.2011.07.002,https://hubermanlab.stanford.edu/publications?page=2
43,Cadherin-6 Mediates Axon-Target Matching in a Non-Image-Forming Visual Circuit,"Osterhout, J., Josten, N., Yamada, J., Pan, F., Wu, S.- wen, Nguyen, P., Panagiotakos, G., Inoue, Y., Egusa, S., Volgyi, B., Inoue, T., Bloomfield, S., Barres, B., Berson, D., Feldheim, D., & Huberman, A. (2011). Cadherin-6 Mediates Axon-Target Matching in a Non-Image-Forming Visual Circuit. Neuron, 71(4), 632-639. https://doi.org/10.1016/j.neuron.2011.07.006",https://hubermanlab.stanford.edu/publications/cadherin-6-mediates-axon-target-matching-non-image-forming-visual-circuit,https://doi.org/10.1016/j.neuron.2011.07.006,https://hubermanlab.stanford.edu/publications?page=2
